Brand,Model,RAM,Storage,Battery,Camera,ScreenSize,FiveG,PhoneAge,Condition,Price
Google,Google-130,8,512,4561,16,5.3,No,2.0,Used,40346.94
Oppo,Oppo-175,4,128,3072,200,5.8,Yes,4.8,New,7183.6
Samsung,Samsung-226,16,64,3497,32,6.1,No,4.0,Used,16325.5
Nothing,Nothing-734,2,64,4111,16,5.2,Yes,2.1,Used,12261.59
Apple,Apple-219,6,64,5624,16,7.0,Yes,4.4,New,60580.81
Motorola,Motorola-748,6,512,4560,108,6.7,Yes,3.3,New,17163.62
Nothing,Nothing-601,3,32,3829,16,6.8,Yes,2.7,Used,12505.66
Realme,Realme-756,12,512,3449,64,6.3,Yes,0.1,New,39792.58
Motorola,Motorola-284,12,256,5225,50,5.8,No,0.3,New,34306.71
Motorola,Motorola-169,2,256,6086,200,6.8,No,2.9,New,13751.51
Vivo,Vivo-460,8,256,5923,8,5.9,No,4.9,Used,5450.29
Realme,Realme-356,8,64,3403,12,5.5,Yes,3.7,Used,5586.26
Motorola,Motorola-897,12,512,5445,48,7.2,No,0.3,New,38666.4
Apple,Apple-412,4,256,5262,50,6.0,No,0.4,New,117987.0
OnePlus,OnePlus-359,6,128,4737,50,5.2,Yes,1.9,Used,18791.74
OnePlus,OnePlus-377,8,64,6487,200,7.1,Yes,4.7,New,15534.05
Xiaomi,Xiaomi-652,4,32,5793,108,6.6,Yes,4.2,New,7258.31
Motorola,Motorola-721,12,128,3742,50,5.9,No,2.9,Used,11754.64
OnePlus,OnePlus-330,3,128,4621,12,5.4,Yes,1.3,New,24787.6
Samsung,Samsung-931,2,32,5402,48,6.0,No,4.1,New,15391.46
Google,Google-610,8,256,5494,8,5.4,Yes,4.9,New,33762.31
Google,Google-985,4,128,3949,50,5.1,Yes,1.4,New,56567.57
Nothing,Nothing-504,16,512,5711,200,5.8,No,3.0,Used,21540.07
Samsung,Samsung-407,2,32,3855,12,7.1,No,4.1,Used,11771.38
Oppo,Oppo-119,6,64,5194,16,5.2,No,3.0,New,8557.72
Xiaomi,Xiaomi-805,8,512,3823,12,5.4,Yes,1.6,New,20998.22
OnePlus,OnePlus-176,12,512,3206,8,6.6,No,1.9,Used,26616.43
Samsung,Samsung-749,2,512,3505,16,5.2,Yes,3.6,Used,14846.46
Google,Google-757,16,128,4846,64,5.1,Yes,2.8,New,48376.32
Apple,Apple-857,16,256,3662,48,6.5,Yes,3.1,New,95665.56
OnePlus,OnePlus-993,12,512,6455,108,7.1,Yes,1.9,New,37847.76
Apple,Apple-393,3,32,4023,64,6.5,No,4.1,New,60991.89
Nothing,Nothing-106,12,64,4242,50,5.3,No,0.7,New,33636.92
Xiaomi,Xiaomi-251,3,32,4268,12,6.2,No,2.7,New,7541.27
Motorola,Motorola-633,12,512,5999,50,6.7,Yes,1.5,New,29508.48
Motorola,Motorola-846,2,64,5284,48,6.9,Yes,4.7,Used,5820.8
Motorola,Motorola-820,12,256,5172,50,5.2,Yes,4.8,New,11317.17
Oppo,Oppo-462,8,32,5803,50,5.7,Yes,1.2,New,19391.23
Oppo,Oppo-908,12,512,4363,200,6.9,No,0.4,New,38658.87
Xiaomi,Xiaomi-507,12,64,3782,8,6.5,Yes,0.6,Used,17843.93
Xiaomi,Xiaomi-641,2,256,6255,16,5.6,Yes,4.3,Used,4972.34
Motorola,Motorola-800,4,64,5337,108,6.4,Yes,1.9,Used,12348.78
Xiaomi,Xiaomi-490,12,32,4601,108,5.7,Yes,3.2,New,12625.11
OnePlus,OnePlus-471,16,128,5414,12,5.5,Yes,0.5,New,42883.44
Motorola,Motorola-365,12,128,5354,108,5.4,Yes,1.2,Used,17515.36
Apple,Apple-732,2,64,4410,64,7.1,No,0.7,Used,69549.7
Nothing,Nothing-843,6,512,4101,108,6.9,Yes,1.5,New,34886.27
Xiaomi,Xiaomi-924,16,64,5253,200,5.5,No,3.6,New,12597.01
Motorola,Motorola-352,12,32,4135,50,6.4,Yes,4.6,Used,7588.86
Realme,Realme-653,8,256,6136,108,6.0,Yes,2.2,Used,13262.53
Motorola,Motorola-555,4,32,5777,32,5.7,Yes,1.2,Used,11922.17
Oppo,Oppo-296,4,64,4424,8,5.9,No,4.3,New,5661.76
Apple,Apple-963,4,32,3229,108,5.7,No,2.8,New,73450.99
Samsung,Samsung-503,6,64,3973,12,5.6,No,3.2,New,19966.1
Realme,Realme-432,16,64,5143,12,5.6,Yes,1.8,New,20333.59
Google,Google-626,8,64,6047,64,6.9,Yes,0.1,Used,57086.75
Motorola,Motorola-116,2,64,6269,48,5.7,Yes,3.3,New,9287.09
OnePlus,OnePlus-687,6,64,4498,48,6.6,Yes,2.0,Used,20177.04
Xiaomi,Xiaomi-391,2,64,5448,12,5.8,No,2.1,New,9093.2
Oppo,Oppo-381,2,64,5027,200,6.5,No,4.5,New,7040.88
OnePlus,OnePlus-600,8,32,5356,50,5.2,No,2.6,Used,14454.76
Realme,Realme-505,3,128,3835,12,6.8,Yes,3.9,New,7187.87
Google,Google-801,2,512,4671,48,5.9,Yes,1.9,New,53919.58
Motorola,Motorola-433,8,128,5769,48,7.0,No,1.1,Used,16706.33
Nothing,Nothing-730,3,512,5091,64,6.3,No,0.9,New,35166.14
Google,Google-116,6,32,5471,108,7.1,Yes,1.8,Used,41029.7
Apple,Apple-202,3,256,4679,32,5.5,Yes,0.8,Used,72074.35
Nothing,Nothing-425,2,512,4140,200,6.9,Yes,1.0,Used,24238.33
Xiaomi,Xiaomi-344,2,256,4278,16,5.5,Yes,4.3,New,6665.38
Oppo,Oppo-971,2,256,6248,50,5.2,Yes,3.5,New,9980.15
OnePlus,OnePlus-190,3,512,5113,12,7.0,No,1.6,New,32487.62
OnePlus,OnePlus-557,8,32,4758,12,7.1,No,4.9,New,14272.57
Vivo,Vivo-752,3,512,4480,64,6.9,No,1.4,New,20814.63
Motorola,Motorola-917,6,32,4627,48,6.0,Yes,1.9,Used,11582.86
Nothing,Nothing-996,2,64,3719,12,7.0,No,4.4,Used,6956.54
Xiaomi,Xiaomi-259,12,128,3897,108,5.2,No,3.6,Used,7386.6
Xiaomi,Xiaomi-565,6,256,5935,32,6.3,No,1.6,New,18999.09
Oppo,Oppo-907,6,128,5873,16,6.3,Yes,3.3,Used,8488.4
Xiaomi,Xiaomi-420,3,256,3357,32,5.3,Yes,1.0,Used,12212.88
OnePlus,OnePlus-217,3,32,4704,64,7.0,No,4.9,New,10975.18
Vivo,Vivo-516,4,128,3131,16,6.4,Yes,0.6,Used,14627.97
Realme,Realme-352,4,64,5338,200,6.9,Yes,3.7,Used,7089.52
Samsung,Samsung-938,6,32,3020,32,5.1,Yes,1.5,Used,20325.45
Oppo,Oppo-962,12,64,3599,108,5.1,No,2.1,Used,10809.83
Google,Google-159,6,256,3508,48,6.5,Yes,2.3,New,51264.77
Apple,Apple-684,6,128,5017,8,6.5,Yes,1.2,New,102225.4
Google,Google-557,6,512,4979,64,5.2,No,1.2,Used,47032.97
Apple,Apple-271,3,32,4532,48,6.9,Yes,0.1,New,109216.19
Vivo,Vivo-368,12,64,4209,200,6.9,Yes,3.5,New,14763.7
Realme,Realme-417,3,64,6447,108,7.2,Yes,4.0,New,7607.09
Nothing,Nothing-575,3,128,4694,50,6.8,Yes,1.9,Used,15800.45
Samsung,Samsung-371,4,128,3662,108,5.2,Yes,1.2,Used,23902.86
OnePlus,OnePlus-451,12,512,5568,8,5.5,Yes,1.1,Used,32012.43
Nothing,Nothing-401,2,512,4583,50,5.4,Yes,2.1,New,25013.31
Motorola,Motorola-562,2,512,3813,16,5.6,Yes,0.7,New,22242.17
Google,Google-791,3,128,3929,64,5.2,No,3.3,New,34579.08
Google,Google-484,6,128,3097,12,5.5,Yes,1.0,Used,41634.05
Xiaomi,Xiaomi-843,3,512,4696,64,7.1,Yes,1.9,New,21951.38
Google,Google-462,12,512,4995,64,5.9,Yes,4.5,New,38612.52
Apple,Apple-661,8,32,6271,32,6.7,No,5.0,New,58123.43
Oppo,Oppo-567,2,32,3982,200,5.2,No,3.5,New,6231.9
Motorola,Motorola-467,3,256,5316,12,5.6,No,4.9,Used,4801.87
Vivo,Vivo-555,16,256,5173,200,5.3,Yes,1.4,New,28701.52
Xiaomi,Xiaomi-914,3,128,5909,200,6.3,Yes,1.3,New,19014.66
OnePlus,OnePlus-455,2,256,3028,48,6.3,Yes,2.5,New,20972.52
Samsung,Samsung-699,16,256,5728,8,6.5,Yes,0.6,New,58435.75
Motorola,Motorola-523,4,256,5507,16,7.2,Yes,0.1,Used,22742.97
Realme,Realme-900,4,32,3838,48,6.3,No,0.5,New,16500.02
Google,Google-346,4,64,5877,32,5.9,Yes,1.5,New,56983.42
Google,Google-151,8,512,3772,50,6.3,Yes,3.3,New,45805.49
Samsung,Samsung-104,4,64,3746,108,7.1,Yes,2.3,Used,19033.36
Nothing,Nothing-124,12,256,3272,50,5.1,Yes,2.2,New,27502.82
OnePlus,OnePlus-661,3,32,5562,64,5.8,Yes,1.9,New,21118.98
Realme,Realme-702,8,512,5427,108,6.1,Yes,3.5,New,14592.58
Vivo,Vivo-770,8,256,5608,16,6.2,No,1.7,New,20996.5
Vivo,Vivo-770,4,64,3142,12,6.4,Yes,4.8,Used,4133.56
Vivo,Vivo-188,12,64,4750,200,5.2,No,3.1,New,13416.66
OnePlus,OnePlus-899,2,64,5636,48,5.6,Yes,1.1,New,28367.34
Oppo,Oppo-886,3,256,6151,16,5.2,Yes,3.6,New,9880.07
Realme,Realme-557,2,512,3041,108,5.6,Yes,4.7,New,7676.94
OnePlus,OnePlus-332,16,128,4797,48,6.1,Yes,2.7,Used,22996.34
Xiaomi,Xiaomi-811,3,64,5773,8,5.1,No,0.5,New,11694.73
Apple,Apple-498,16,32,4158,16,6.9,Yes,3.3,Used,57165.41
OnePlus,OnePlus-670,8,128,6263,32,7.0,Yes,2.0,Used,20319.08
Xiaomi,Xiaomi-582,4,64,4430,108,6.7,No,1.9,Used,9680.36
Apple,Apple-770,8,512,4134,8,6.5,Yes,0.5,Used,91037.47
Google,Google-378,3,64,3429,50,5.6,Yes,1.1,Used,38863.37
Samsung,Samsung-868,12,128,5011,8,6.1,Yes,0.4,New,46329.72
Vivo,Vivo-353,2,256,5874,12,5.3,Yes,0.8,Used,12881.47
Xiaomi,Xiaomi-400,16,256,5796,50,5.4,No,0.1,Used,27031.99
Samsung,Samsung-736,2,512,3749,48,6.8,Yes,4.9,Used,14947.77
Xiaomi,Xiaomi-911,6,512,4210,12,7.1,Yes,4.0,New,12260.26
Apple,Apple-129,16,512,4495,12,6.8,Yes,1.6,New,122666.86
Google,Google-187,2,128,5269,50,6.6,Yes,0.1,New,77221.92
Samsung,Samsung-941,3,256,4714,108,6.5,No,3.5,Used,15205.38
Xiaomi,Xiaomi-379,6,512,5801,16,6.4,Yes,1.5,New,23227.4
Vivo,Vivo-514,12,32,4173,16,6.6,Yes,2.3,New,16689.9
Xiaomi,Xiaomi-820,8,256,6094,32,6.6,No,0.6,Used,18879.38
Vivo,Vivo-327,2,32,5375,12,6.6,Yes,1.6,New,14316.98
Xiaomi,Xiaomi-754,12,256,3977,50,6.2,Yes,2.6,Used,13677.12
Nothing,Nothing-453,2,128,6250,108,5.2,No,1.6,Used,15721.98
Nothing,Nothing-142,16,128,5672,32,5.2,No,0.3,New,43555.38
Motorola,Motorola-847,3,512,3687,108,5.8,No,0.2,Used,20638.28
Nothing,Nothing-385,16,512,5008,48,5.2,Yes,0.5,New,54555.89
Nothing,Nothing-381,12,256,6490,108,7.1,Yes,3.1,New,23532.11
OnePlus,OnePlus-962,4,128,3810,16,6.4,No,1.2,New,25591.23
Samsung,Samsung-974,6,64,6211,12,6.0,No,4.6,New,14501.1
Vivo,Vivo-607,2,256,4682,50,5.2,Yes,1.2,New,18312.0
Samsung,Samsung-382,16,128,6021,64,6.2,Yes,0.0,New,57757.86
Realme,Realme-921,2,128,5212,12,5.8,No,2.9,New,7589.53
Oppo,Oppo-426,16,256,3654,50,6.0,No,0.5,New,37685.74
Nothing,Nothing-599,2,256,4785,16,6.9,Yes,4.1,Used,10811.47
Vivo,Vivo-403,6,64,4345,108,5.2,Yes,4.1,New,8577.19
Xiaomi,Xiaomi-480,16,128,5026,64,5.1,No,1.5,New,23112.11
Oppo,Oppo-599,2,32,3243,64,6.1,Yes,3.7,New,7256.49
Xiaomi,Xiaomi-710,16,32,3552,108,6.0,No,0.3,Used,24174.61
Oppo,Oppo-214,12,64,4792,16,5.5,Yes,3.5,Used,8043.63
Vivo,Vivo-684,2,64,5689,108,6.8,No,4.4,Used,5219.72
Apple,Apple-792,12,128,4469,32,7.1,No,0.2,New,132600.63
Apple,Apple-184,8,256,5034,8,5.9,Yes,1.5,New,95830.92
Oppo,Oppo-689,16,32,4664,16,7.1,Yes,4.9,New,10620.7
OnePlus,OnePlus-755,16,128,4490,108,7.2,Yes,0.8,New,46857.1
Apple,Apple-950,16,128,5386,108,6.8,Yes,2.9,New,88431.27
Motorola,Motorola-602,4,32,4647,32,7.1,Yes,1.3,Used,13507.08
Realme,Realme-779,4,512,4701,12,6.7,Yes,2.5,New,16003.96
Oppo,Oppo-643,8,64,3343,200,7.0,No,1.4,Used,15734.26
Oppo,Oppo-820,6,256,5156,16,5.3,No,4.9,New,6767.95
Samsung,Samsung-337,12,32,5305,50,5.5,Yes,2.2,New,29415.32
Motorola,Motorola-237,6,512,3790,48,6.3,No,3.7,Used,10176.03
Oppo,Oppo-843,2,32,5574,48,5.4,Yes,1.7,New,11705.87
Apple,Apple-590,12,256,6494,16,6.4,Yes,0.9,New,116762.33
Motorola,Motorola-331,6,64,3434,32,5.3,No,1.7,New,13596.71
Google,Google-165,16,128,3031,8,5.4,Yes,4.9,New,33661.16
Realme,Realme-883,2,256,6437,12,6.7,No,3.9,New,6907.39
Realme,Realme-870,8,512,4892,50,6.7,No,0.2,New,34319.07
Apple,Apple-791,8,64,3001,48,5.6,Yes,0.4,Used,74750.19
Oppo,Oppo-851,4,512,3106,200,5.1,No,1.0,New,23519.59
Vivo,Vivo-867,3,128,3858,200,5.7,No,4.7,Used,4576.31
Oppo,Oppo-630,3,512,5846,8,6.2,Yes,2.3,Used,11969.62
Samsung,Samsung-422,4,32,5736,50,5.2,Yes,2.0,New,24895.37
Google,Google-727,8,256,6028,50,6.6,Yes,1.9,New,59156.98
Xiaomi,Xiaomi-304,8,256,4781,48,6.2,No,0.3,New,29475.69
Samsung,Samsung-354,3,32,3076,48,5.7,No,3.3,New,16846.31
Vivo,Vivo-208,3,128,5660,32,6.3,Yes,3.3,New,9778.84
Motorola,Motorola-333,16,256,5313,12,6.0,Yes,0.6,New,36570.83
Nothing,Nothing-551,2,64,3209,16,7.0,No,2.1,New,19509.06
Vivo,Vivo-238,16,256,3255,50,5.3,Yes,0.8,New,32179.35
Oppo,Oppo-743,3,512,4237,32,5.8,No,0.9,Used,14984.35
Google,Google-324,3,256,3610,108,5.5,Yes,2.1,New,46827.92
OnePlus,OnePlus-347,2,32,5014,8,6.7,No,3.9,Used,9291.99
Google,Google-736,3,128,4121,32,5.8,Yes,4.9,New,30031.99
Xiaomi,Xiaomi-276,6,512,6102,16,6.0,Yes,1.7,New,22145.55
Motorola,Motorola-465,12,256,4742,64,6.3,Yes,2.6,New,21786.36
Samsung,Samsung-624,8,64,5750,12,5.8,No,4.8,Used,11459.25
Realme,Realme-626,16,32,6221,64,7.0,No,0.1,New,36649.5
Google,Google-947,6,64,4672,8,7.2,Yes,2.5,New,44974.24
OnePlus,OnePlus-563,12,128,3542,12,6.1,No,0.5,Used,26628.59
Nothing,Nothing-813,16,64,6251,32,5.3,Yes,0.2,Used,32483.24
Oppo,Oppo-978,16,128,5453,32,7.1,Yes,4.1,New,15400.17
Realme,Realme-684,12,512,5403,64,5.3,No,0.9,Used,20903.05
Vivo,Vivo-718,12,512,6136,8,5.9,Yes,2.0,Used,18951.12
Google,Google-290,8,64,5721,108,5.3,No,4.5,New,30877.11
Nothing,Nothing-259,3,32,3327,32,6.3,Yes,4.7,Used,7719.29
Realme,Realme-949,8,32,5744,64,5.7,No,2.6,New,10186.39
Samsung,Samsung-886,2,512,3783,48,7.0,Yes,4.3,Used,16899.14
Google,Google-179,4,32,4181,108,6.2,Yes,2.2,Used,34163.51
Nothing,Nothing-240,2,512,5966,8,6.9,Yes,2.0,Used,18744.12
Apple,Apple-994,12,256,5660,200,6.0,Yes,4.2,Used,53004.0
Samsung,Samsung-943,4,256,6459,12,7.1,No,1.9,New,30446.18
Vivo,Vivo-602,8,64,4597,48,5.7,Yes,3.6,New,10176.72
OnePlus,OnePlus-926,8,128,5248,64,5.9,No,1.1,New,32941.76
Apple,Apple-954,8,32,6334,48,5.3,Yes,3.4,New,69370.88
Apple,Apple-627,6,512,3166,108,5.8,Yes,2.6,New,83561.3
Realme,Realme-453,12,32,4187,32,6.1,Yes,4.5,New,8814.17
Apple,Apple-795,8,256,3972,32,6.0,Yes,3.8,New,72964.29
Samsung,Samsung-846,6,512,6041,8,6.7,Yes,4.9,Used,14662.95
Motorola,Motorola-578,4,64,3040,108,6.0,No,2.5,Used,7983.49
Samsung,Samsung-826,4,512,5100,12,5.5,No,3.7,New,22348.71
Google,Google-941,2,512,6353,200,5.3,No,1.0,Used,45337.72
Google,Google-259,2,32,4176,48,6.3,Yes,2.1,Used,32954.37
Xiaomi,Xiaomi-629,6,32,3333,108,5.2,No,0.4,New,17032.88
Google,Google-807,12,256,5875,50,5.2,Yes,3.6,Used,31248.39
Vivo,Vivo-708,12,512,4523,32,7.1,Yes,4.6,New,13827.62
Realme,Realme-689,2,256,5364,200,6.1,No,4.5,Used,4731.03
OnePlus,OnePlus-689,8,512,4005,50,5.5,Yes,2.7,Used,21090.51
Apple,Apple-370,12,512,5754,12,6.7,No,1.8,Used,77399.81
Samsung,Samsung-167,16,256,4312,8,6.1,No,2.1,New,35318.94
Oppo,Oppo-751,8,512,6461,108,5.7,Yes,4.1,Used,9065.13
Google,Google-248,16,128,3987,108,5.8,No,2.2,New,57233.7
OnePlus,OnePlus-252,2,32,4244,108,5.4,Yes,2.8,New,16554.16
Oppo,Oppo-324,12,512,3693,32,6.7,Yes,4.0,Used,11134.58
Motorola,Motorola-665,2,128,5407,8,5.9,No,3.3,New,7375.54
Apple,Apple-796,16,256,5325,32,5.2,Yes,1.1,New,120500.11
Samsung,Samsung-638,8,32,4568,16,5.4,No,2.3,Used,18480.06
Samsung,Samsung-873,4,32,3534,8,6.5,Yes,4.2,New,17162.96
OnePlus,OnePlus-295,2,64,3733,32,6.1,Yes,3.2,Used,11127.26
Nothing,Nothing-750,16,32,4658,50,5.8,Yes,4.3,New,16909.72
Xiaomi,Xiaomi-474,2,64,3316,16,6.6,Yes,0.7,New,16571.42
Vivo,Vivo-298,16,256,5802,48,5.1,No,0.9,New,30901.88
Apple,Apple-272,2,64,3000,50,5.3,Yes,1.2,New,93970.9
Samsung,Samsung-749,3,32,5976,8,5.8,Yes,0.4,Used,23085.64
Oppo,Oppo-979,6,64,4111,12,5.2,Yes,3.3,New,8900.71
OnePlus,OnePlus-729,12,64,4859,32,5.3,Yes,1.7,New,30939.16
Nothing,Nothing-766,12,512,4596,108,6.1,Yes,2.8,Used,18495.55
Oppo,Oppo-750,8,32,3025,64,6.9,No,0.3,New,25869.91
Vivo,Vivo-557,12,64,4744,16,6.0,Yes,4.6,New,9873.65
Realme,Realme-973,2,512,5380,50,5.2,Yes,1.8,New,16762.59
Xiaomi,Xiaomi-153,16,32,4223,64,6.1,No,4.8,New,9579.86
Realme,Realme-283,16,128,5553,12,6.6,No,3.6,New,13609.39
Samsung,Samsung-598,8,256,6237,12,5.8,Yes,3.0,Used,19508.11
Motorola,Motorola-656,16,32,4760,64,5.6,Yes,2.2,New,21354.68
Apple,Apple-667,4,512,5450,16,5.4,Yes,3.9,New,67504.02
Oppo,Oppo-844,16,64,5806,48,6.2,Yes,0.6,New,36634.41
Samsung,Samsung-210,3,512,4169,64,6.6,Yes,1.0,Used,29779.7
Motorola,Motorola-458,2,128,4181,108,7.0,Yes,2.7,Used,9870.53
OnePlus,OnePlus-340,8,32,5632,64,6.7,Yes,0.4,Used,29089.97
Nothing,Nothing-701,8,64,5078,32,5.6,No,3.2,New,17353.29
Google,Google-986,6,256,4363,108,7.0,Yes,2.7,New,50626.3
Realme,Realme-152,6,128,4255,32,7.1,No,4.9,Used,4857.99
Xiaomi,Xiaomi-115,3,128,4824,64,5.4,No,1.3,Used,9186.87
Xiaomi,Xiaomi-381,12,512,5774,8,6.3,No,3.4,New,16377.6
Xiaomi,Xiaomi-782,6,512,5003,32,6.8,No,1.6,New,20480.97
Xiaomi,Xiaomi-578,12,64,3482,50,5.8,No,1.9,New,16702.71
OnePlus,OnePlus-545,16,32,5569,48,7.1,No,4.6,New,18830.56
Samsung,Samsung-896,8,32,6328,48,6.8,No,3.5,New,23681.22
OnePlus,OnePlus-339,12,512,5670,200,5.7,No,4.9,Used,12502.02
Apple,Apple-700,3,64,6457,8,6.5,Yes,0.1,New,117693.5
Samsung,Samsung-831,12,128,4816,64,6.5,Yes,1.1,Used,34570.19
Oppo,Oppo-293,12,32,5728,12,6.1,Yes,4.7,Used,6594.82
Vivo,Vivo-551,2,128,5959,200,6.0,Yes,1.7,New,15282.67
Nothing,Nothing-601,12,512,4783,64,5.4,No,3.1,New,21628.87
Nothing,Nothing-866,6,32,3107,64,6.4,Yes,2.7,New,19318.42
Samsung,Samsung-961,4,32,3033,50,5.5,No,0.7,New,30290.46
Realme,Realme-988,16,32,4504,16,6.6,No,1.0,Used,17812.42
Motorola,Motorola-301,4,128,5428,50,6.0,No,0.7,Used,13119.61
Apple,Apple-429,16,256,6340,200,6.2,No,3.1,New,97716.52
Oppo,Oppo-301,16,256,3160,64,6.9,Yes,2.7,New,21184.9
Realme,Realme-596,16,128,5306,64,5.1,Yes,0.7,New,32056.17
Apple,Apple-692,12,512,3806,32,6.4,Yes,0.4,Used,102697.25
Samsung,Samsung-465,4,512,5324,200,5.9,Yes,2.7,Used,23777.32
OnePlus,OnePlus-951,12,256,3677,32,6.8,Yes,1.6,Used,28586.8
Apple,Apple-834,4,64,5215,8,6.3,Yes,4.5,New,57480.95
Nothing,Nothing-794,8,256,3787,108,6.8,Yes,1.5,Used,24296.29
Apple,Apple-980,2,32,4807,64,6.7,Yes,0.4,Used,77564.07
Apple,Apple-875,4,256,3965,200,6.1,Yes,1.9,New,89767.98
Nothing,Nothing-151,16,32,3699,108,6.2,No,2.7,Used,17115.92
Oppo,Oppo-705,8,512,5302,48,5.9,No,1.2,New,26649.3
Nothing,Nothing-154,2,512,5279,12,5.5,Yes,3.9,Used,10165.73
Motorola,Motorola-108,16,32,5315,8,5.2,Yes,1.9,New,21509.08
Motorola,Motorola-223,6,128,5356,12,7.0,No,1.1,New,19237.53
Vivo,Vivo-362,12,256,5991,200,6.0,Yes,1.0,New,31667.81
Vivo,Vivo-876,12,64,4069,108,5.7,Yes,3.7,Used,9100.54
Vivo,Vivo-654,16,64,5279,50,5.9,No,4.7,New,10707.4
Samsung,Samsung-665,6,512,6254,64,7.0,Yes,1.1,Used,32281.09
Nothing,Nothing-582,6,128,5456,64,5.3,Yes,4.4,Used,9631.44
Apple,Apple-840,2,256,5311,16,6.5,No,3.8,Used,47908.55
Nothing,Nothing-862,2,512,5357,64,5.6,Yes,2.0,New,23631.87
Apple,Apple-613,4,32,5542,200,5.3,Yes,0.6,Used,77637.68
Nothing,Nothing-706,12,128,4161,16,6.3,No,1.3,New,32454.5
Motorola,Motorola-518,4,256,5964,64,6.6,Yes,1.8,Used,13741.74
Realme,Realme-211,16,64,5249,16,6.2,Yes,4.6,New,10481.22
OnePlus,OnePlus-904,8,128,4401,16,6.9,Yes,2.1,New,30519.1
Realme,Realme-799,12,256,4251,50,5.4,Yes,4.5,New,9712.68
Apple,Apple-548,16,512,5674,64,6.3,No,1.4,New,112373.7
Google,Google-614,16,128,3849,200,5.9,No,1.2,New,68544.63
Vivo,Vivo-545,3,32,3083,12,6.4,Yes,4.7,New,5588.54
Samsung,Samsung-694,2,32,3612,108,7.2,Yes,1.4,Used,20727.68
Vivo,Vivo-175,12,512,6386,16,5.3,Yes,4.5,New,12419.84
Google,Google-731,12,64,5570,108,5.3,Yes,0.1,New,82438.64
Samsung,Samsung-684,3,64,5818,108,5.9,Yes,2.9,New,21194.49
Realme,Realme-621,6,256,6191,108,6.9,Yes,3.8,New,11629.23
Xiaomi,Xiaomi-493,2,32,4901,200,5.6,No,2.9,New,7604.93
Apple,Apple-450,12,128,4929,200,6.3,Yes,0.2,Used,100542.17
Nothing,Nothing-690,12,256,6182,108,6.5,No,0.7,Used,29725.96
Google,Google-799,2,32,5703,32,6.4,No,4.8,New,28959.65
OnePlus,OnePlus-618,4,128,3637,64,5.2,Yes,2.8,New,18115.04
Realme,Realme-938,8,256,3822,8,6.6,No,1.7,New,16639.9
Vivo,Vivo-435,12,512,3049,12,5.6,Yes,3.2,New,16118.4
Nothing,Nothing-542,4,32,5134,108,6.2,Yes,4.7,Used,7551.89
Apple,Apple-130,16,128,5352,48,6.4,No,4.1,New,79531.23
Oppo,Oppo-751,6,256,4214,200,5.7,Yes,3.7,New,11923.09
Samsung,Samsung-665,2,64,4077,8,5.1,Yes,0.3,Used,23180.99
Oppo,Oppo-429,8,256,6194,32,5.7,Yes,1.3,New,24598.65
OnePlus,OnePlus-510,2,512,3679,64,6.8,Yes,4.5,New,18336.39
Xiaomi,Xiaomi-991,6,512,5572,108,5.7,Yes,0.2,New,32428.39
Nothing,Nothing-635,8,32,6457,12,5.3,No,1.2,New,26029.11
Xiaomi,Xiaomi-717,2,64,5738,108,5.6,Yes,0.4,Used,14469.09
Vivo,Vivo-832,4,256,6133,50,6.0,No,0.8,New,20036.78
OnePlus,OnePlus-318,2,128,6472,64,5.7,Yes,3.8,New,16254.29
Samsung,Samsung-981,8,512,3102,16,6.1,No,2.9,New,28753.71
Google,Google-565,2,128,3923,12,5.6,Yes,1.0,New,59891.34
Oppo,Oppo-998,2,256,4312,12,7.1,No,3.9,New,9226.84
Vivo,Vivo-128,8,512,4379,8,6.4,Yes,1.5,New,25730.9
Realme,Realme-678,8,32,6337,16,5.7,Yes,0.2,New,24736.23
Samsung,Samsung-376,2,512,4105,200,5.8,Yes,3.5,Used,18458.8
Xiaomi,Xiaomi-495,3,64,5085,50,5.5,No,2.5,Used,6706.65
Realme,Realme-572,4,32,5971,200,7.1,Yes,1.1,New,20520.6
Nothing,Nothing-958,8,64,6369,12,5.6,No,1.8,New,22501.82
Vivo,Vivo-617,3,256,3665,50,6.1,No,4.3,New,7979.98
Vivo,Vivo-184,2,32,3292,64,7.0,No,2.6,New,10896.35
Vivo,Vivo-934,8,128,4416,48,7.1,Yes,4.7,New,9658.3
Motorola,Motorola-290,8,128,4763,8,7.1,Yes,3.6,New,12414.16
Apple,Apple-356,16,128,4813,32,6.9,No,3.4,New,85011.79
Motorola,Motorola-789,8,32,4360,50,6.1,No,0.6,New,22329.59
Vivo,Vivo-403,16,128,5690,48,5.5,No,0.3,New,37090.39
Samsung,Samsung-168,3,256,4809,50,5.7,Yes,0.8,Used,25244.01
Motorola,Motorola-459,16,128,4874,32,6.6,No,4.0,New,15531.61
Samsung,Samsung-125,2,128,3980,200,7.2,Yes,4.1,New,21310.95
Nothing,Nothing-818,3,512,3552,200,6.4,No,1.3,Used,21603.23
Xiaomi,Xiaomi-632,6,64,5095,12,6.9,Yes,2.8,Used,8735.78
Nothing,Nothing-664,6,32,4419,48,7.2,No,4.2,Used,9799.98
Apple,Apple-673,6,64,4070,108,6.2,Yes,3.5,New,70862.45
OnePlus,OnePlus-237,4,256,3092,108,6.3,Yes,3.3,New,21524.95
